Category,URL,Title,Project Team,Published Date,,download_link
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/smart-tech-green-power-digital-growth-needs-energy-efficiency-and-clean-power,"Smart Tech, Green Power: Harnessing Clean and Efficient Energy for a Sustainable Digital Boom","John Beirne, Shu Tian, Mahinthan Mariasingham",6-May-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/digitalization-inclusive-growth,Advancing Resilient and Sustainable Development of Critical Minerals in Asia and the Pacific,Kijin Kim,11-Apr-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/stronger-penalties-and-timely-targets-could-make-sustainability-linked-bonds-more-effective,Stronger Penalties and Timely Targets Could Make Sustainability-Linked Bonds More Effective, Donghyun Park and Shu Tian,2-Apr-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/artificial-intelligence-meets-real-finance-innovation-risk-and-regulation,"Artificial Intelligence Meets Real Finance: Innovation, Risk, and Regulation",Gemma Estrada and Donghyun Park,26-Mar-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/how-data-helps-digital-nomads-thrive-asia-and-pacific?fbclid=IwY2xjawLBujhleHRuA2FlbQIxMABicmlkETFyN0ZoM1NxS2dyNXNLR1JvAR50_RpkTSlFXU1fmp7rgvAYI_X9VKNCHtxZzfzKWqYOrfhPdjMzYlwG61yMjQ_aem_8Dvt3Um6ihTMRUYInzvuUw,[DevAsia Insight] How Data Helps Digital Nomads Thrive in Asia and the Pacific," Arturo Martinez, Jr., Raymond Adofina, Anna Marie Fernando, Aileen Guyos",10-Mar-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/summary/integrating-natural-capital-sustainable-development-and-investment,Integrating Natural Capital into Sustainable Development and Investment,D. Bantasan; M. Pelli; J. Samson,4-Mar-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/better-age-how-lifelong-learning-can-transform-workforce,Better with Age: How Lifelong Learning Can Transform the Workforce,Aiko Kikkawa; Silvia Garcia Mandico,26-Feb-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/unintended-consequences-managing-surprising-impacts-conditional-cash-transfers,Unintended Consequences: Managing the Surprising Impacts of Conditional Cash Transfers,Lennart Reiners,21-Feb-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/statistical-data-metadata-exchange,Making Data Easily Accessible: Leveraging Statistical Data and Metadata eXchange,Stefan Schipper,3-Feb-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/nations-reshore-asean-should-explore-trade-digitalization-and-connectivity,"As Nations Reshore, ASEAN Should Explore Trade, Digitalization and Connectivity",Sanchita Basu-Das,31-Jan-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/guesswork-precision-enhancing-agricultural-mapping-geospatial-tech,[DevAsia Explainer] From Guesswork to Precision: Enhancing Agricultural Mapping with Geospatial Tech,"Mahinthan Joseph Mariasingham, Pamela Lapitan",29-Jan-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-can-asia-successfully-navigate-new-us-administration-policies,How Can Asia Successfully Navigate New US Administration Policies?,Albert Park,27-Jan-25,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-asia-s-central-banks-can-leverage-innovation-peer-peer-lending-markets,How Asia's Central Banks Can Leverage Innovation in Peer-to-Peer Lending Markets,John Beirne,13-Dec-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-emerging-markets-can-boost-resilience-debt-shocks,How Emerging Markets Can Boost Resilience to Debt Shocks,John Beirne,13-Dec-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/mapping-industry-networks-key-coordinated-economic-growth,Mapping Industry Networks as a Key to Coordinated Economic Growth,Milan Thomas,11-Dec-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/publications/industry-employment-network-database-philippines,The Industry Employment Network Database: Measuring Local Access to Productive Inputs in the Philippines,Milan Thomas,9-Dec-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-political-stability-shields-fiscal-space-climate-risks,How Political Stability Shields Fiscal Space from Climate Risks,Donghyun Park and John Beirne,26-Nov-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/it-time-close-asia-s-climate-finance-gap-and-build-resilience,It is Time to Close Asia’s Climate Finance Gap and Build Resilience,"Madhavi Pundit, David Raitzer",22-Nov-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/cost-inaction-failing-act-climate-change-threatens-asia-and-pacific,The Cost of Inaction: Failing to Act on Climate Change Threatens Asia and the Pacific,D. Raitzer,22-Nov-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/coming-terms-carbon-pricing,Coming to terms with Carbon Pricing,Yi Jiang,15-Nov-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/summary/enhancing-statistical-capabilities-climate-action?fbclid=IwY2xjawF-nQ9leHRuA2FlbQIxMQABHUmmZAOQQVIKJfhyQsp6PnyKGJ6lkrcw1gAwg4UdHYQUVA2c7blmPc1lnw_aem_G4-r3GgV6EocrvKCDe_5JA,Enhancing Statistical Capabilities for Climate Action,"Arturo Martinez, Jr., Yating Ru, Karen Firshan, Raymond Adofina, Nalwino Billones",17-Oct-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-advance-green-inclusive-trade-through-e-commerce-asia-and-pacific,"How to Advance Green, Inclusive Trade through E-commerce in Asia and the Pacific",Kijin Kim,3-Oct-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/fed-has-cut-interest-rates-what-does-mean-asia-and-pacific,The Fed Has Cut Interest Rates: What Does This Mean for Asia and the Pacific?,Matteo Lanzafame,25-Sep-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/using-data-safeguard-vulnerable-communities-climate-risks,Using Data to Safeguard Vulnerable Communities from Climate Risks,"Arturo Martinez, Jr., Yating Ru, Dennis Dizon, Christian Leny Hernandez, Oshean Garonita, Raymond Adofina",18-Sep-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/energy-reforms-lao-people-s-democratic-republic-can-unlock-development-gains,How the Lao People’s Democratic Republic Can Supercharge Development Gains,Donghyun Park,28-Aug-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/four-ways-measure-women-s-empowerment-agriculture,Four Ways to Measure Women’s Empowerment in Agriculture,Hema Swaminathan; Bimbika Basnett,26-Aug-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/four-ways-align-national-trade-strategies-climate-actions,Four Ways to Align National Trade Strategies with Climate Actions,Pramila Crivelli,16-Aug-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-pakistan-can-turn-remittances-pillar-economic-growth,How Pakistan Can Turn Remittances into a Pillar of Economic Growth,"David De Padua, Matteo Lanzafame, Irfan Qureshi, Kiyoshi Taniguchi",13-Aug-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/strong-institutions-shield-emerging-markets-us-monetary-shocks,Strong Institutions Shield Emerging Markets from US Monetary Shocks,Donghyun Park and Irfan A. Qureshi,7-Aug-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/what-could-derail-asia-s-solid-growth-outlook,What Could Derail Asia’s Solid Growth Outlook?,"John Beirne, Jaqueson Galimberti, Pilipinas Quising",23-Jul-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed","https://blogs.adb.org/blog/getting-more-women-asia-s-parliaments-key-gender-equality; 
https://www.facebook.com/share/9ZqPTchNkpHxkLsx/?mibextid=oFDknk",Getting More Women into Asia’s Parliaments is Key to Gender Equality,"Stefan Schipper, Sean Crowley; Jomel Jhele Sadsad",19-Jul-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/right-policies-can-separate-economic-growth-pollution,The Right Policies Can Separate Economic Growth from Pollution,Matteo Lanzafame,11-Jul-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/pandemic-resources-and-better-living-conditions-are-key-tackling-tuberculosis; https://www.facebook.com/share/r/vjyrqq2agBAvV8Yz/?mibextid=oFDknk; https://www.linkedin.com/feed/update/urn:li:activity:7218790745715920896/,Pandemic Resources and Better Living Conditions Are Key to Tackling Tuberculosis,"Stefan Schipper, Sean Crowley",5-Jul-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/teachers-asia-and-pacific-need-more-support,Teachers in Asia and the Pacific Need More Support,"Stefan Schipper, Sean Crowley, Jomel Jhele Sadsad",25-Jun-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/innovative-agricultural-practices-and-international-collaboration-can-stabilize-rice-prices,Innovative Agricultural Practices and International Collaboration Can Stabilize Rice Prices,"Pilipinas Quising, Shiela Camingue-Romance",3-Jun-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/birth-registration-can-be-boosted-deploying-more-health-workers,Birth Registration Can Be Boosted by Deploying More Health Workers,"Stefan Schipper, Sean Crowley, Brad Zuniga",15-May-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asia-s-semiconductor-powerhouses-can-thrive-ai-era,Asia's Semiconductor Powerhouses Can Thrive in the AI Era,"Gabriele Ciminelli, Pilipinas Quising, Shiela C. Romance",7-May-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/climate-change-transforms-migration-governments-must-act-ease-restrictions,"As Climate Change Transforms Migration, Governments Must Act to Ease Restrictions",Lennart Reiners,6-May-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asia-and-pacific-s-rapidly-aging-population-needs-long-term-care-solutions,Asia and the Pacific’s Rapidly Aging Population Needs Long-Term Care Solutions,"A. Kikkawa, S. Garcia-Mandico",2-May-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asia-and-pacific-s-rapidly-aging-population-needs-long-term-care-solutions,How To Improve the Well-Being of Older People in Asia and the Pacific,Aiko Kikkawa,2-May-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-asia-and-pacific-financially-prepared-aging-population,Your Questions Answered: Is Asia and the Pacific Financially Prepared for an Aging Population?,"Aiko Kikkawa, Donghyun Park, Gemma Estrada",2-May-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed","https://blogs.adb.org/blog/learning-loss-persists-even-after-schools-reopen#:~:text=Student%20monitoring%20and%20remedial%20programs,school%20closures%20during%20the%20pandemic.",Learning Loss Persists Even After Schools Reopen, Albert Park and Rhea Molato-Gayares,6-Mar-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/strengthening-labor-data-collection-inclusive-policy-formulation,Strengthening Labor Data Collection for Inclusive Policy Formulation,"Arturo Martinez, Jr.",27-Feb-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/exploitation-conservation-recognizing-value-natural-assets,From Exploitation to Conservation: Recognizing the Value of Natural Assets,Lei Lei Song,19-Feb-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/how-assign-value-ecosystem-services,How to Assign Value to Ecosystem Services,Martino Pelli and Jindra Samson,19-Feb-24,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-green-nudges-can-reduce-disposable-cutlery-use?auHash=zCbRNCpY2E26TVvSUxJ3UcvghAZ_bLpeo6TiRCYeoxA,How “Green Nudges” Can Reduce Disposable Cutlery Use,"Albert Park, Elaine S. Tan",15-Dec-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/climate-crisis-how-big-data-can-improve-disaster-response-and-preparedness,Climate Crisis: How Big Data Can Improve Disaster Response and Preparedness,Madhavi Pundit,5-Dec-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/cambodia-provides-valuable-lesson-utilization-rates,Cambodia Provides a Valuable Lesson on Utilization Rates,Pramila Crivelli,29-Nov-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/industrial-policy-back-what-does-it-mean-asia-and-pacific,Industrial Policy Is Back: What Does It Mean for Asia and The Pacific?,"Matteo Lanzafame, Irfan Qureshi",21-Nov-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/robots-rescue-three-ways-automation-can-cushion-impact-aging-economic-growth,Robots to the Rescue: Three Ways Automation Can Cushion the Impact of Aging on Economic Growth,Matteo Lanzafame,16-Nov-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/trade-connections-expose-asia-and-pacific-global-slowdown,Trade Connections Expose Asia and the Pacific to the Global Slowdown,"Jules Hugot, Homer Pagkalinawan",15-Nov-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/emerging-asia-s-232-trillion-answer-economic-shocks-local-currency-bond-markets,Emerging Asia's $23.2 Trillion Answer to Economic Shocks: Local Currency Bond Markets,"Shu Tian, Donghyun Park",31-Oct-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/trade-resilience-four-strategies-strengthening-supply-chains-asia-and-pacific,Trade Resilience: Four Strategies for Strengthening Supply Chains in Asia and the Pacific,Sanchita Basu-Das,16-Oct-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/when-governments-talk-climate-investors-listen-policies-can-drive-green-investments,"When Governments Talk Climate, Investors Listen: Policies Can Drive Green Investments",Shu Tian,14-Sep-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/coming-terms-inflation-0,[Asian Development Blog] Coming to Terms with Inflation,"Matteo Lanzafame, Irfan Qureshi",28-Jul-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/here-s-how-manage-economic-impact-asia-and-pacific-s-aging-population,Here’s How to Manage the Economic Impact of Asia and the Pacific's Aging Population,Stefan Schipper,20-Jun-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/inflation-asia-and-pacific-good-bad-and-how-prevent-ugly,"Inflation In Asia and the Pacific: The Good, The Bad, And How to Prevent The Ugly","Matteo Lanzafame, Irfan Qureshi",13-Jun-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/cambodia-celebration-and-new-trade-challenges,"For Cambodia, Celebration and New Trade Challenges",Pramila Crivelli,31-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/tax-reform-learning-hong-kong-china-s-reform-challenges,"Tax Reform: Learning from Hong Kong, China’s Reform Challenges",Matteo Lanzafame,30-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/post-pandemic-asia-falling-short-electricity-access-and-switch-renewables,"Post-Pandemic, Asia is Falling Short on Electricity Access and Switch to Renewables",Stefan Schipper,24-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/debt-crisis-would-be-damaging-after-covid-19-heres-how-avoid-it," A Debt Crisis Would Be Damaging After COVID-19, Here’s How to Avoid It",Stefan Schipper,16-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/insight/fintech-booming-lets-ensure-everyone-benefits,"Fintech Is Booming, Let’s Ensure Everyone Benefits",Stefan Schipper,8-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/decarbonization-will-not-succeed-unless-it-equitable,Decarbonization Will Not Succeed Unless it is Equitable,"Shu Tian, David Anthony Raitzer, Manisha Pradhananga",3-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/global-warning-asia-critical-addressing-climate-change,Global Warning: Asia is Critical to Addressing Climate Change,"Shu Tian, David Anthony Raitzer, Manisha Pradhananga",2-May-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/will-us-bank-turmoil-spread-asia,Will US Bank Turmoil Spread to Asia?,"Arief Ramayandi, Irfan A. Qureshi, Matteo Lanzafame, Yuho Myoda",25-Apr-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/factories-or-call-centers-asia-charts-its-development-path,Factories or Call Centers? Asia Charts its Development Path,"Irfan Qureshi, Matteo Lanzafame, João Pedro Farinha",14-Apr-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/four-ways-accelerate-tourism-recovery-asia,Four Ways to Accelerate Tourism Recovery in Asia,Sanchita Basu Das,22-Mar-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://dx.doi.org/10.22617/BRF230046,Fed tightening and capital flow reversals in emerging markets: What do we know?,"Yuho Myoda, Matteo Lanzafame, Irfan Qureshi",23-Feb-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://dx.doi.org/10.22617/BRF230028-2,Appraising new damage assessment techniques in disaster-prone Fiji,"Madhavi Pundit, Homer Pagkalinawan, Priscille Villanueva",9-Feb-23,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-are-we-brink-global-recession,Your Questions Answered: Are We on the Brink of a Global Recession?,"Matteo Lanzafame, Irfan Qureshi, Arief Ramayandi, Marcel Schroder",25-Nov-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/rcep-was-launched-high-hopes-here-how-we-can-achieve-them,RCEP Was Launched with High Hopes. Here Is How We Can Achieve Them,Sanchita Basu Das,23-Nov-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/workers-are-heading-back-overseas-here-s-how-governments-should-respond,Workers Are Heading Back Overseas: Here’s How Governments Should Respond,Aiko Kikkawa,14-Nov-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/measuring-social-mobility-longitudinal-data-scarce-settings,Measuring Social Mobility in Longitudinal Data-Scarce Settings,"Arturo Martinez, Jr.",9-Nov-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/which-asian-countries-are-most-supportive-digital-entrepreneurship,Which Asian Countries Are Most Supportive of Digital Entrepreneurship?,"Donghyun Park, Yothin Jinjarak, Shu Tian",7-Oct-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/does-corruption-discourage-entrepreneurship,Does Corruption Discourage Entrepreneurship?,"Donghyun Park, Gemma Estrada, and Yuho Myoda",23-Sep-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-will-interest-rate-hikes-fed-affect-asia,Your Questions Answered: How Will Interest Rate Hikes by the Fed Affect Asia?,"Lanzafame, Yuho Myoda, Irfan Qureshi and Arief Ramayandi",21-Sep-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-can-asia-manage-its-growing-population-older-workers,Your Questions Answered: How Can Asia Manage its Growing Population of Older Workers?,Aiko Kikkawa,19-Sep-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-has-pandemic-affected-asia-s-poor,Your Questions Answered: How Has the Pandemic Affected Asia’s Poor?,"Arturo Martinez, Jr. and Joseph Bulan",31-Aug-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/these-6-urgent-actions-are-needed-recover-pandemic-school-closures,These 6 Urgent Actions are Needed to Recover from Pandemic School Closures,"Albert Park, Rhea Molato Gayares, Milan Thomas",19-Aug-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-to-reorganize-the-world-s-fragile-supply-chains,Reshore or Diversify? How to Reorganize the World’s Fragile Supply Chains,Jong Woo Kang,3-Aug-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-resilient-have-asia-s-economies-been-during-pandemic,Your Questions Answered: How Resilient Have Asia’s Economies Been During the Pandemic?,"Irfan Qureshi, Matteo Lanzafame",26-Jul-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/tracking-people-s-movement-after-disasters-can-save-lives,Tracking People’s Movement After Disasters Can Save Lives,"Madhavi Pundit, Priscille Villanueva",11-Jul-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/here-s-how-pandemic-school-closures-worsen-asias-educational-divide,Here’s How Pandemic School Closures Worsen Asia's Educational Divide,Stefan Schipper,7-Jul-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/does-cambodia-peoples-republic-china-fta-offer-better-market-access-rcep,Does the Cambodia–People’s Republic of China FTA Offer Better Market Access than RCEP?,Pramila Crivelli,4-Jul-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/millions-are-going-hungry-in-post-pandemic-asia-here-s-how-to-respond,Millions Are Going Hungry in Post-Pandemic Asia: Here’s How to Respond,Stefan Schipper,29-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/aid-trade-needs-catch-modern-world,Aid for Trade Needs to Catch Up with the Modern World,Pramila Crivelli,23-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/price-shock-what-200-barrel-oil-would-mean-asia,Price Shock: What $200 Per Barrel Oil Would Mean for Asia,Marcel Schro?der,22-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/turbulent-remittance-flows-during-pandemic-highlight-the-need-for-reforms,Turbulent Remittance Flows During the Pandemic Highlight the Need for Reforms,"Stefan Schipper, Sean Crowley",21-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/your-questions-answered-how-manage-rising-prices-asia,Your Questions Answered: How to Manage Rising Prices in Asia?,"Irfan Qureshi, Matteo Lanzafame",9-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asias-governments-need-act-now-scarring-effects-school-closures,Asia's Governments Need to Act Now on Scarring Effects of School Closures,Cyn-Young Park,2-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://development.asia/explainer/smart-ways-collect-and-share-data-monitoring-sdg-progress,DevAsia - Smart Ways to Collect and Share Data for Monitoring SDG,S Schipper,1-Jun-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asia-s-debt-sustainable-now,Asia’s Debt is Sustainable… For Now,Benno Ferrarini,27-May-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/news/op-ed/how-students-can-catch-learning-lost-during-pandemic-albert-park,How Students Can Catch Up on Learning Lost During the Pandemic,Albert Park,20-May-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/learning-recovery-complicated-asia-s-preexisting-learning-crisis,Learning Recovery is Complicated by Asia’s Preexisting Learning Crisis,Paul Vandenberg,9-May-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/what-emerging-bright-spots-tell-us-about-reviving-tourism-asia,What Emerging Bright Spots Tell Us About Reviving ?ourism in Asia,Jules Hugot,29-Apr-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asia-s-resilient-supply-chains-withstand-pandemic-and-global-turmoil,Asia’s Resilient Supply Chains Withstand Pandemic and Global Turmoil,Jules Hugot,26-Apr-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asia-s-developing-countries-need-bold-tax-reform-rebound-pandemic,Asia’s Developing Countries Need Bold Tax Reform to Rebound from the Pandemic,"Yothin Jinjarak, Shu Tian, Donghyun Park, Samuel Hill",6-Apr-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/how-big-data-can-be-used-tourism-recovery-asia-and-pacific,How Big Data Can Be Used for Tourism Recovery in Asia and The Pacific,Aleli Rosario,24-Mar-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/food-alone-will-not-address-malnutrition-indonesia,Food Alone Will Not Address Malnutrition in Indonesia,"Milan Thomas, Takashi Yamano",17-Mar-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/implications-asia-us-monetary-policy,The Implications for Asia of US Monetary Policy,Cyn-Young Park,7-Mar-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/asian-trade-has-rebounded-strongly-yet-uncertainties-persist,"Asian Trade Has Rebounded Strongly, Yet Uncertainties Persist","Jong Woo Kang, Mara Tayag",23-Feb-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/during-pandemic-asia-went-online-yet-digital-economy-declined,"During The Pandemic, Asia Went Online Yet the Digital Economy Declined",Mahinthan Joseph Mariasingham,4-Feb-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://www.adb.org/news/op-ed/how-cambodia-s-capital-market-can-support-sustainable-investments-kosintr-puongsophol-shu,How Cambodia’s Capital Market Can Support Sustainable Investments,K Puongsophol; S Tian; B. Ainabe,20-Jan-22,,#N/A
"ADB Briefs, Technical Blog, and Op-ed",https://blogs.adb.org/blog/vaccinated-asia-prospering-while-other-countries-struggle,Vaccinated Asia is Prospering While Other Countries Struggle,M Lanzafame; I Qureshi,12-Jan-22,,#N/A
Other Knowledge Products,https://asianbondsonline.adb.org/mdr.php,Monthly Debt Roundup (January 2026),"Shu Tian, Mai Lin Villaruel, Donghyun Park",30-Jan-26,,#N/A
Other Knowledge Products,https://asianbondsonline.adb.org/wdh.php,Weekly Debt Highlights (January 2026),"Shu Tian, Mai Lin Villaruel, Donghyun Park",26-Jan-26,,#N/A
Other Knowledge Products,https://www.adb.org/publications/guide-seasonal-adjustment-jdemetra,Practical Guide on Seasonal Adjustment Using JDemetra+,"Stefan Schipper, Pamela Lapitan",19-Dec-25,,#N/A
Other Knowledge Products,https://asianbondsonline.adb.org/mdr.php,Monthly Debt Roundup (November 2025),"Shu Tian, Mai Lin Villaruel, Donghyun Park",28-Nov-25,,#N/A
Other Knowledge Products,https://asianbondsonline.adb.org/wdh.php,Weekly Debt Highlights (November 2025),"Shu Tian, Mai Lin Villaruel, Donghyun Park",24-Nov-25,,#N/A
Other Knowledge Products,https://asianbondsonline.adb.org/mdr.php,Monthly Debt Roundup (October 2025),"Shu Tian, Mai Lin Villaruel, Donghyun Park",31-Oct-25,,#N/A
Other Knowledge Products,https://asianbondsonline.adb.org/wdh.php,Weekly Debt Highlights (October 2025),"Shu Tian, Mai Lin Villaruel, Donghyun Park",27-Oct-25,,#N/A
